Unnamed: 0,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
1278,Roupa Roupinha Dinossauro Bebê Macacão Dino Fantasia Baby,4.6,506.0,,pitaya vibes,algodão,Bebês,outono/inverno,"O produto veio todo manchado, só não vou devolver porque não tenho tempo de ir atrás disso!.
Muito decepcionada com a compra!!!.",Muito lindo. É bem pequeno mas como é rn pode ser que fique bom. O bebê ainda não nasceu mas se não for muito grande vai servir. Se for muito grande não haha mas valeu a compra pq é lindo.,"Comprei para o meu sobrinho ele está com 4 meses mais é muito grande. O fechamento é com zíper o que facilita e muito no dia a dia. Fora que ficou muito fofo.
O tecido é grosso mais não é com forro.
Enfim eu amei.",+1000,39.9,0.8518518518518517,0.05564125165271045,,0.04948671600559326,610,25,3,1000.0,0.00045475216007276033,0.17644383810823103
1279,Kit 10 Blusas Tshirts Blusas Feminina Roupas Atacado Revenda,4.7,48.0,8.0,blanc store,,Feminino,primavera/verão,"Esperei lavar a primeira vez para avaliar porque sei que isso é importante pra quem vai comprar: não encolheram, não desbotaram a cor ou a estampa e nem laciaram. A qualidade é muito boa e as estampas são lindas.
Só queria que tivesse outras cores pra variar um pouquinho tipo verde claro e amarelo 💛.",Produto de ótima qualidade. Gostei muito.,"As blusinhas são lindas. O material é de qualidade, e o custo benefício nem se fala!!!.",+100,169.57,0.888888888888889,0.005178492728074042,0.04918032786885246,0.27060809658606455,132,178,7,100.0,0.0009095043201455207,
1280,Short Jeans Feminino Cintura Alta Sem Lycra Barra Dobrada,,,10.0,stillger,algodão,Feminino,primavera/verão,,,,+5,49.99,,,0.0819672131147541,0.06669281402407831,736,25,7,5.0,0.03274215552523874,0.17644383810823103
1281,Calça Jeans Feminina Plus Size Azul Escuro Sawary,5.0,2.0,32.0,sawary,algodão,Feminino,outono/inverno,"O jeans é de muita qualidade, tecido grosso e estruturado. Tem pouco elastano então estica no máximo 3 cm. Talvez laceie após a lavagem. Gostaria que a cintura fosse mais alta, quem tem a bunda grande fica um pouco mais baixo a parte de trás, mas não chega a mostrar o rego. Enfim, não me sinto confortável para usar essa calça com cropped por exemplo. Mas fora isso ameii. Tenho 98 de cintura e 128 de quadril pedi o número 50, o 48 não me serviria. Segui a tabela de medidas do site da marca. Compensou mais comprar no mercado livre do que no site, mas comparem os preços.",,,+25,,0.9999999999999999,0.00011018069634200089,0.4426229508196722,,692,25,3,25.0,0.0068212824010914054,0.17644383810823103
1282,Masha E O Urso Roupa Conjunto Inverno Infantil Menino Bebe,,,,genérica,,Bebês,não definido,,,,+5,109.99,,,,0.16900856041744824,327,178,1,5.0,0.009549795361527967,
1283,Conjunto Infantil Carros Relampago Mcqueen Sem Suspensório,4.3,7.0,,angel kids,,Meninos,não definido,,Ótimo muito lindo meu filho tem 11 meses comprei tamanho 1 ficou perfeito o tamanho super indico.,"Pra crianças, o produto é bom. O tamanho deu certinho.",+100,78.99,0.7407407407407406,0.0006610841780520054,,0.11614542478087378,45,178,1,100.0,0.0009095043201455207,
1284,Bermuda Short Jeans Masculino Plus Size 36 Ao 56 Elastano,4.8,6.0,5.0,galanteador,algodão,Masculino,primavera/verão,Lindas as bermudas e o cheiro bom que elas tem. Estou muito satisfeita.,Perfeito vou comprar outras.,"Gostei serviu meu marido gostou,.",+50,78.63,0.9259259259259259,0.0005509034817100045,0.0,0.11553153030251356,320,25,7,50.0,0.002728512960436562,0.17644383810823103
1285,Blusa Cinta Tomara Que Caia Colada Tam Unico,5.0,2.0,,f.p,,Feminino,primavera/verão,"Muito linda, adorei.",,,+50,39.99,0.9999999999999999,0.00011018069634200089,,0.04964018962518332,282,178,7,50.0,0.00045475216007276033,
1286,Calça Treino Essentials 3 Listras Masculina adidas Novo,4.8,19.0,36.0,adidas,poliéster,Masculino,outono/inverno,"Que calça top , cor ,pano , caimento 👏.",Bom eu achei que tá muito caro pra uma calça com tecido reciclado eu me arrependi de ter comprado por um preço alto fora isso a calça até que é estilosa!.,Encontrei o que estava procurando a tempos.,+50,299.68,0.9259259259259259,0.001983252534156016,0.5081967213114754,0.4924797926400873,13,122,3,50.0,0.010914051841746248,0.11732605729877217
1287,Camiseta Masculina T-shirt Lisa Básica Que Não Desbotam,,,52.0,camisa básica roupa vestuário by certim,poliviscose,Masculino,não definido,,,,2,99.99,,,0.7704918032786886,0.15195593601855326,166,121,1,2.0,0.0009095043201455207,0.0009095043201455207
